"Family","Genus","species","bar_code","plot_code","X","Y","Fe","sapwood_dens","bark_thick","twig_dens","twig_bark_thick","N","NH4","C13","P","K","chlor","C_N","Nodulation","log_lf_area","log_tough","log_lflt_area","log_LTD","log_SLA","log_moist","PC1","PC2","PC3"
"Dichapetalaceae","Tapura","capitulifera","P00610350","P006",47,160,NA,0.6146,3,0.643201351165771,3.4607838,0.011511951,0.496338,-30.7847923,0.0003007,0.0027912,67.0564481806095,34.4918406966812,0,3.60186807712431,1.26882377664555,3.60186807712431,-10.2543971162939,2.02702160945982,-0.407366915397761,2.58204701611693,0.671440954876693,-0.941317861222797
"Dichapetalaceae","Tapura","capitulifera","P00610461","P006",52,150,NA,0.7218,5,0.64174896478653,2.154,0.012471633,0.572097,-30.15182916,0.00034,0.00365,112.119603867139,31.5577182234275,0,2.72348600923205,1.35239280944421,2.72348600923205,-10.0847124004830,1.54791267942781,-0.534264855499754,3.27249392198782,0.305396084308416,-0.799303151026778
"Dichapetalaceae","Tapura","capitulifera","P00610468","P006",54,134,NA,0.77141,2,0.715153753757477,0.62958746,0.013815049,0.552838,-31.95712455,0.00039,0.0050382,79.9766486877471,28.3316111292837,0,3.21620559631232,1.16627093714192,3.21620559631232,-10.0770631923799,2.10874369236723,-0.875628750155265,2.33840083936114,-1.19714509145858,1.05869236362998
"Dichapetalaceae","Tapura","capitulifera","P00610486","P006",62,129,NA,0.8018,5,0.68318110704422,1.836,0.013925113,1,-30.50636477,0.00034,0.00306,137.618377382052,27.9882443323799,0,2.31911439494526,1.13783300182139,2.31911439494526,-9.914002180927,1.63939023471745,-0.680823430871113,3.17632383507369,-0.561583172770979,-0.0605121159668479
"Dichapetalaceae","Tapura","capitulifera","P00610490","P006",68,138,NA,0.38392,8,0.524,1.75985334,0.012076595,0.716928,-29.64591476,0.0002555,0.0019381,111.375376808498,33.1531777790014,0,2.35454483192476,1.28923264827676,2.35454483192476,-10.0274029592639,1.50581941954637,0.470003629245736,2.30086733203682,2.01194586722529,-4.01031263492884
"Dichapetalaceae","Tapura","capitulifera","P00610491","P006",65,137,NA,0.78571,7,0.865,3.17617413,0.013086372,0.685098,-30.31585123,0.00034,0.00394,109.037395926611,31.2550919383921,0,2.49320545260270,1.35497567786246,2.49320545260270,-10.2723547002570,1.63595726136232,-0.640744501766897,3.37488554025998,-0.704265196359959,-0.422467369241613
"Dichapetalaceae","Tapura","capitulifera","P00610507","P006",62,160,NA,0.7338,5,0.72,2.02491359,0.011566291,1,-30.07274623,0.0003749,0.0022338,86.8658470829064,33.8336901604845,0,2.45387454054027,1.35840915763035,2.45387454054027,-9.9389779762806,1.69306871150651,-0.696352311508894,3.40927836931454,-0.758012732539284,-0.534353758832141
"Dichapetalaceae","Tapura","capitulifera","P00610517","P006",65,177,NA,0.66,4,0.728864192962646,4.835,0.01315369,0.645871,-30.13172456,0.0004523,0.0044629,87.2747457657142,30.9683730572942,0,2.45958884180371,1.43587786130872,2.45958884180371,-10.117122626585,1.55942749185944,-0.338414120858554,2.8133574793647,0.389365132446133,-1.38280319359059
"Dichapetalaceae","Tapura","capitulifera","P00610530","P006",67,196,NA,0.60377,6,0.482484901,2.765,0.014811808,0.787219,-31.89619899,0.000372,0.0037818,86.4443590417696,26.2250848782269,0,3.25809653802148,1.13676405463249,3.25809653802148,-10.1806783136896,2.02359452866072,-0.414304056775369,1.38941355130761,0.784675470165443,-1.05020412199968
"Dichapetalaceae","Tapura","capitulifera","P00610535","P006",64,200,NA,0.8061,3,0.813,2.17354011,0.010380462,0.904594,-30.61153337,0.0004494,0.00447,73.404223787126,36.4497735264577,0,3.23343597619953,1.44691898293633,3.23343597619953,-9.91265601274385,1.55696266242927,-0.746337009074064,3.86631101515116,-0.685650790129701,0.474616924685524
"Dichapetalaceae","Tapura","capitulifera","P00610594","P006",76,208,NA,0.4656,3,0.584,2.04638607,0.012823649,0.552548,-32.73886489,0.00034,0.001266,116.607312073466,30.0438513250012,0,3.10159266425347,1.15792886582453,3.10159266425347,-10.1132664975765,1.8574380702947,-0.19492059237047,2.44959820895353,1.21374176764572,-1.31829147730101
"Dichapetalaceae","Tapura","capitulifera","P00610674","P006",83,175,NA,0.6151,4,0.665339648723602,2.154,0.0130848,0.850694,-32.40456365,0.0003578,0.0041594,92.0203930692016,28.1409802977501,0,3.60368460805070,1.1589754383952,3.60368460805070,-10.1431297553140,1.98165958011113,-0.380674939300946,1.98426911234266,0.441451997571995,-0.191557106747763
"Dichapetalaceae","Tapura","capitulifera","P00610755","P006",98,200,NA,0.7055,6,0.787,4.08193132,0.010351777,0.720138,-32.08298851,0.0003684,0.0044176,73.6472024983494,36.5678117872902,0,2.45387454054027,1.07954272594776,2.45387454054027,-10.0712734489035,1.94505091944495,-0.603306476560156,3.22874287561244,-0.945226113903074,-1.03019237405478
"Dichapetalaceae","Tapura","capitulifera","P00612062","P006",65,148,NA,0.53,3,0.641,4.835,0.01114958,0.636729,-30.84120658,0.00031,0.0026964,74.3792851907703,35.3421865218241,0,2.86220088092947,0.822712384914589,2.86220088092947,-10.0395789928335,1.67639204723120,-0.416121688296693,2.94055101905189,0.538212375268026,-1.99318946017334
"Dichapetalaceae","Tapura","guianensis","M17116495","M1711",35,27,NA,0.5759,4,0.652,1.393,0.023523189,0.440737,-33.03841981,0.0006879,0.0064171,54.745111574012,24.5969600674608,0,3.3405033129899,0.631271776841858,3.3405033129899,-10.6385920342056,2.55660176916149,-0.102808219981682,-1.22337577136344,-0.499001163973421,-0.479505584884076
"Dichapetalaceae","Tapura","guianensis","T10109","T1",85.5,24.5,NA,0.58734,5.6,0.607651673,2.1547286,0.021107065,0.248867,-33.03489611,0.0004472,0.0054721,62.4212746962892,20.6714654390169,0,3.60720291143922,0.578484272239806,3.60720291143922,-10.7859308294255,2.76851342558862,-0.181162229074108,-1.13648899299543,-0.243296692632776,-0.682549957378814
